1,2019-05-31,343503120,19 Carberry Avenue,357059954,541531450
3,2020-06-14,716472601,343 Prairieview Place,674418651,518045819
6,2022-03-22,638706198,33 Arkansas Circle,689003528,625866695
6,2021-09-08,497469461,33 Arkansas Circle,163512126,255656973
8,2019-08-03,361049326,12969 Division Court,997738451,918212802
5,2021-04-06,714412548,7 Springview Drive,718968811,533480080
8,2019-12-07,202634364,95 Mitchell Pass,561467365,381088645
1,2021-11-14,799187167,226 Darwin Park,885859373,529325907
6,2019-07-06,889511178,918 Monument Hill,464982531,709509449
9,2020-07-09,198487702,293 Pankratz Parkway,950466763,470213134
8,2021-05-10,346048103,0 Blaine Place,230397579,137114821
5,2020-03-15,359518664,35 Huxley Lane,369463048,822528149
9,2019-12-19,104177091,84 Muir Pass,984130742,682713525
11,2021-06-24,913345705,83 John Wall Way,331822747,463304776
8,2021-08-14,272667559,251 Spenser Drive,275123576,197538300
2,2019-04-02,356642979,695 Derek Street,612409660,591560672
2,2021-03-24,288726122,121 Birchwood Parkway,972270034,265771522
4,2019-12-10,201916143,35 Huxley Lane,527302490,549512310
9,2020-09-20,895538301,8861 Crescent Oaks Hill,672509212,499540803
8,2022-01-16,938132992,34 Maywood Point,696426513,236459778
7,2020-02-02,123410869,1 Utah Crossing,925806509,796820452
2,2021-07-29,210658624,33 Division Avenue,256139224,609244210
6,2018-06-10,852698800,293 Pankratz Parkway,341878556,532274780
1,2019-04-06,657206664,293 Pankratz Parkway,992428005,453384165
7,2018-12-19,335350962,83 John Wall Way,683788806,172234079
6,2018-11-26,331758636,0 Havey Park,361667070,140490468
1,2018-07-14,559951683,84 Muir Pass,750729853,520169911
4,2018-04-23,729379594,8861 Crescent Oaks Hill,339222540,437819003
3,2019-02-09,948404899,33 Arkansas Circle,801833163,237576918
9,2021-10-18,104578860,8861 Crescent Oaks Hill,772976292,217257245
11,2020-09-22,105169574,76317 Londonderry Point,478962231,197538300
12,2018-02-22,885871732,33 Division Avenue,912839851,423781446
6,2019-11-08,272236321,121 Birchwood Parkway,965268249,354389686
5,2020-10-03,840153214,121 Birchwood Parkway,541144954,908733794
4,2018-11-25,317787365,70 Merry Circle,793295059,621744410
1,2020-10-10,400686834,9491 Hermina Crossing,422198400,661850443
12,2021-08-18,913739762,7 Sullivan Crossing,301459248,429132492
9,2020-03-15,939509540,59149 Raven Road,641045353,919132689
10,2022-01-20,828937821,7 Sullivan Crossing,839008423,901895756
5,2020-07-04,200129902,0 Havey Park,226901357,953006425
9,2021-04-27,375092564,7 Sullivan Crossing,118922160,707766111
7,2018-04-23,195694191,918 Monument Hill,912229854,216591666
8,2021-02-20,388887617,0 Kropf Place,819107365,620385246
5,2018-06-15,449812442,33 Division Avenue,534614702,110598229
2,2018-04-11,356925049,7 Springview Drive,859032783,149261442
10,2021-08-01,881637139,121 Birchwood Parkway,848546288,321835636
6,2021-09-05,309240889,7 Springview Drive,892446295,948750955
5,2021-06-07,672509212,0 Havey Park,349822760,886638402
12,2021-01-01,142051144,121 Birchwood Parkway,774446992,761373502
7,2021-04-05,661307724,7 Sullivan Crossing,140000554,102113103
4,2019-02-13,140000554,19 Carberry Avenue,901859039,244455878
9,2020-11-24,199215578,19 Carberry Avenue,138707930,285354402
3,2019-03-27,337684255,98716 Dunning Hill,372323894,782526542
9,2020-07-11,979825556,32 Melrose Place,438300987,748865073
2,2021-08-29,773566593,83 John Wall Way,396220643,244808434
3,2019-07-20,644627673,8861 Crescent Oaks Hill,596882772,483609624
2,2019-12-02,112200389,0888 Westridge Way,419004355,541295512
10,2018-03-20,789947483,0 Kropf Place,545746761,339902510
2,2020-09-16,961288762,3 Merrick Parkway,523572488,845376241
7,2020-07-20,859881678,226 Darwin Park,141661864,715445529
9,2021-08-16,154067257,343 Prairieview Place,615557870,987518080
10,2020-11-19,400490754,4267 High Crossing Circle,406467954,389671202
2,2019-12-31,426706758,226 Darwin Park,145828929,977069672
7,2020-02-01,438871811,9245 Kedzie Hill,636378335,369477855
11,2021-10-19,777714211,59149 Raven Road,937234863,111753490
11,2018-08-14,448864138,226 Darwin Park,373900204,746213131
12,2021-09-26,405902660,918 Monument Hill,845205080,953006425
7,2020-03-02,135179478,9245 Kedzie Hill,369463048,832858388
9,2020-10-09,813278795,8 Delaware Court,210771849,863266144
1,2018-03-14,331444193,8861 Crescent Oaks Hill,695175278,848662126
3,2022-02-28,330158926,013 Westridge Pass,100557067,885034687
10,2018-08-27,756114921,70 Merry Circle,840200480,551635485
4,2021-03-07,725239390,7207 Dakota Crossing,986888410,201130267
9,2021-05-30,617639240,84 Muir Pass,772910936,857226298
11,2020-09-05,666544264,12969 Division Court,352618944,642942434
4,2020-12-15,118472326,9164 Briar Crest Alley,679657540,376301483
11,2019-05-01,757284985,19 Carberry Avenue,728090368,749459996
8,2018-06-10,224496309,2 Kim Parkway,406492421,652515279
11,2019-03-26,780085334,226 Darwin Park,927936797,623577151
4,2021-02-17,149192799,59149 Raven Road,323625113,551897386
8,2020-07-15,862122725,33 Arkansas Circle,372345990,720474487
5,2020-08-09,769682550,343 Prairieview Place,589340909,339931613
4,2020-09-22,263148131,12969 Division Court,302596578,929906044
6,2019-03-25,255001070,2 Kim Parkway,602576365,105136684
8,2018-08-12,949888389,35 Huxley Lane,960831115,608805716
4,2018-10-07,746309020,9 Elka Terrace,821480225,678066571
12,2020-05-13,591599941,695 Derek Street,326584831,445925511
6,2018-09-20,440754772,7207 Dakota Crossing,371272652,271212883
5,2022-04-10,306777845,36267 2nd Terrace,391325498,939266833
5,2021-05-30,199054005,35 Huxley Lane,849616825,368344864
9,2018-04-25,272635657,7995 Sullivan Terrace,169342628,409448073
2,2021-06-07,712828050,233 Acker Trail,689354437,642369693
7,2022-01-20,873098197,33 Sachs Plaza,312221175,428916585
2,2020-03-15,421314315,35 Huxley Lane,206854669,352279320
6,2019-06-26,535681512,33 Arkansas Circle,883951331,249939464
8,2022-02-05,542113503,695 Derek Street,944690230,839879901
3,2019-06-30,517675687,8 Delaware Court,406955774,504087380
12,2019-10-17,902952606,33 Arkansas Circle,407025855,183719456
10,2021-05-29,703308676,7 Springview Drive,449812314,820718436
3,2022-02-28,279132728,33 Arkansas Circle,462364741,738026704
11,2018-12-03,456843678,0 Blaine Place,590780447,440570086
3,2018-12-10,727137731,84 Muir Pass,892446295,861087553
1,2022-01-18,378422626,9 Elka Terrace,488489160,180107143
2,2020-01-16,258797388,7207 Dakota Crossing,439812825,331854693
12,2021-09-19,256139224,343 Prairieview Place,499750457,251624546
9,2020-06-13,110272948,226 Darwin Park,205019393,618176247
2,2018-09-04,762074539,839 Forster Terrace,615557870,871754728
6,2018-12-09,552504455,343 Prairieview Place,789432251,665134802
4,2019-12-19,499750457,8861 Crescent Oaks Hill,112200389,353284270
2,2020-05-24,124158090,0 Blaine Place,939639832,963404438
12,2019-09-11,599368007,1 Utah Crossing,591800227,557659877
7,2022-03-30,573841896,839 Forster Terrace,833552527,769773121
6,2021-09-27,139886593,95 Mitchell Pass,249078703,328161763
1,2018-09-13,512174411,013 Westridge Pass,550075744,388666684
2,2018-11-11,486438812,9164 Briar Crest Alley,881117488,942799501
2,2021-01-16,101476443,95 Mitchell Pass,485661381,421286953
8,2021-10-24,736253685,33 Division Avenue,669084477,405403051
5,2018-12-01,863495571,70 Merry Circle,210536142,327449462
10,2018-09-07,695147103,7995 Sullivan Terrace,124158090,698720177
3,2021-11-17,784472419,33 Sachs Plaza,112499392,350044936
11,2020-12-16,915129685,36267 2nd Terrace,464693333,847621650
10,2022-04-10,583671983,0 Blaine Place,269710988,490530060
9,2018-10-01,252552904,33 Division Avenue,195916893,924875339
11,2018-12-29,438686290,8861 Crescent Oaks Hill,978942515,467820226
9,2018-06-30,359565377,87496 Mesta Trail,225016532,280465225
3,2021-02-20,112600640,83 John Wall Way,772910936,937143613
1,2021-07-02,615059708,3 Merrick Parkway,984191081,648270967
4,2019-03-18,963395643,8861 Crescent Oaks Hill,480049266,576898553
12,2019-06-15,316940722,957 Mandrake Alley,682114379,255843923
11,2020-06-29,898201887,0 Havey Park,860005404,936943068
7,2021-05-16,191179136,35 Huxley Lane,862119346,582499388
2,2020-07-15,665684865,0888 Westridge Way,121897168,383719052
11,2018-11-21,162329761,76317 Londonderry Point,862579552,262543823
3,2021-08-30,352975923,3 Merrick Parkway,145019286,923381407
7,2018-06-30,832469928,36267 2nd Terrace,164855587,250874082
5,2018-07-15,781811999,36267 2nd Terrace,590884769,571756122
11,2021-03-04,300922210,98716 Dunning Hill,654637252,442137925
3,2018-05-08,604522176,4267 High Crossing Circle,553008201,186817234
5,2018-03-27,896697562,0 Kropf Place,128752349,936943068
